id,text,tag
005.jpg,前菜小食,
005.jpg,Appetizers & Snacks,
005.jpg,Dumplings & Baos,
005.jpg,2,
005.jpg,2,
005.jpg,香辣鹵牛腱,
005.jpg,899,
005.jpg,799,
005.jpg,醋泡木耳,
005.jpg,Soy Braised Beef Slices,
005.jpg,Pork Ear Slices with ChiliOil,
005.jpg,599,
005.jpg,With Cilantro,
005.jpg,and Cilantro,
005.jpg,Wood Ear Mushroom Pickled,
005.jpg,(4個)1099,
005.jpg,499,
005.jpg,with Wild Chil,
005.jpg,',
005.jpg,Pie(4 Pieces),
005.jpg,Pork Steamed Bao(3 Pieces),
005.jpg,5,
005.jpg,6,
005.jpg,5,
005.jpg,坡子街熱鹵,
005.jpg,1299,
005.jpg,(木耳,
005.jpg,千張,
005.jpg,牛肉,
005.jpg,腐竹,
005.jpg,涼拌千張絲,
005.jpg,799,
005.jpg,Changsha Style Spicy Medley,
005.jpg,鹽酥雞,
005.jpg,1099,
005.jpg,Tofu Skin Salad,
005.jpg,Wood EarMushroom Tofu Skin Shreds.,
005.jpg,Crispy Chicken,
005.jpg,999,
005.jpg,"Pig Ear Beef Dred Tofu Skin,",
005.jpg,Wild Chili Beefin,
005.jpg,999,
005.jpg,素水鉸(6個),
005.jpg,699,
005.jpg,Chinese Pita,
005.jpg,Pork Steamed Dumpling( Pieces),
005.jpg,Dumplings Pieces),
005.jpg,8,
005.jpg,飲料,
005.jpg,甜品,
005.jpg,Beverages & Desserts,
005.jpg,刮涼粉,
005.jpg,499,
005.jpg,虎皮蛋,
005.jpg,加面,
005.jpg,199,
005.jpg,Each,
005.jpg,Mung Bean Moodle,
005.jpg,Fried Egg (Each),
005.jpg,Add Moodles,
005.jpg,Iced,
005.jpg,With,
005.jpg,綠豆爽 399,
005.jpg,玉米汁 299,
005.jpg,Hot& Spicy,
005.jpg,Coconut Juice and Peach,
005.jpg,Iced,
005.jpg,Bean,
005.jpg,酸梅湯 29,
005.jpg,2021-2024,
005.jpg,nC,
005.jpg,626.571,
005.jpg,Corn Juice,
005.jpg,Juice,
005.jpg,Crispy,
005.jpg,Vege,
005.jpg,Soup,
005.jpg,Mung,
005.jpg,Soup,
005.jpg,Plum,
